product_uuid,actual_price,selling_price,average_rating,brand,category,out_of_stock,product_id,seller,sub_category,title,discount
6d35409c-7412-5556-bc13-f0077e8ba7b5,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTBCHWHDMGJ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),81.0
33a1d14b-ca83-50e8-8bae-4acffdfaeac1,2469.0,499.0,3.3,Unknown,Clothing and Accessories,0,CTPFVQSGZGPHUEFX,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),79.0
ad8b00ac-2573-581a-b389-278fd54c9c15,3299.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTBN4GRZKXH,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),84.0
779fdc29-7eba-547c-bf10-85469b60bd7e,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTKAE4MZ8VM,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),79.0
a6175bbd-b0f8-5df2-a5e2-2a27736a9451,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFW3TYNYEDKBV8,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Blue),77.0
adb16576-7ec8-5f03-a770-9998befa2296,1539.0,349.0,4.3,Unknown,Clothing and Accessories,1,CTPFVPKKWBZUCH7Y,Unknown,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Green),77.0
47eb8b11-a5ab-5412-84a7-7db6f8b7a9f5,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZGY4PQHQNFH,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Grey),79.0
125019b4-7e1b-5e5e-a054-7f9189707765,2499.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPH2JGZRW6FV,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Pink),80.0
ba85119e-ceab-5edc-abc5-e01f4d88be6f,1539.0,349.0,4.4,Unknown,Clothing and Accessories,0,CTPFVPKJUJDPNCCR,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Red),77.0
99e4df32-6e1c-5f48-a97d-e558393c8b07,1539.0,499.0,3.5,Unknown,Clothing and Accessories,0,CTPFVPHGUPGV9SDK,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Brown),67.0
